latitude,longitude,name,names,createdAt,updatedAt,distance,id
30.264969,-97.764992,Barton Springs Rd,Barton Springs Rd,Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),18.228022682139642,11
30.264969,-97.764992,Azie Morton Rd,"Azie Morton Rd,Robert E. Lee Rd",Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),22.24044675532625,12
30.378557,-97.738068,Loop 1 N,Loop 1 N,Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),5.793293423315074,13
30.378557,-97.738068,to US-183 N / Research Blvd N,to US-183 N / Research Blvd N,Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),13.646881113344081,14
30.378557,-97.738068,MoPac Express N,MoPac Express N,Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),17.98634759035247,15
30.378557,-97.738068,MoPac Express S,MoPac Express S,Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),30.424314175694658,16
30.378557,-97.738068,Loop 1 S,Loop 1 S,Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),Mon Jul 16 2018 12:09:42 GMT-0500 (CDT),40.037280056916266,17
30.142878,-97.801559,Old San Antonio Rd,Old San Antonio Rd,Mon Jul 16 2018 12:09:43 GMT-0500 (CDT),Mon Jul 16 2018 12:09:43 GMT-0500 (CDT),3.3374637574070993,18
30.142878,-97.801559,FM 1626,FM 1626,Mon Jul 16 2018 12:09:43 GMT-0500 (CDT),Mon Jul 16 2018 12:09:43 GMT-0500 (CDT),5.273187388365226,19
29.993029,-98.100533,Loma Vista Rd,Loma Vista Rd,Mon Jul 16 2018 12:09:43 GMT-0500 (CDT),Mon Jul 16 2018 12:09:43 GMT-0500 (CDT),4.12210193726867,20
29.993029,-98.100533,River Rd,River Rd,Mon Jul 16 2018 12:09:43 GMT-0500 (CDT),Mon Jul 16 2018 12:09:43 GMT-0500 (CDT),5.120575362179663,21
30.217197,-97.850754,Convict Hill Rd,Convict Hill Rd,Mon Jul 16 2018 12:09:44 GMT-0500 (CDT),Mon Jul 16 2018 12:09:44 GMT-0500 (CDT),1.601745307814783,22
30.561832,-97.797203,Journey Pkwy,Journey Pkwy,Mon Jul 16 2018 12:09:44 GMT-0500 (CDT),Mon Jul 16 2018 12:09:44 GMT-0500 (CDT),3.7885542763332483,23
30.589802,-97.830788,Hero Way,"Hero Way,CR-269",Mon Jul 16 2018 12:09:45 GMT-0500 (CDT),Mon Jul 16 2018 12:09:45 GMT-0500 (CDT),2.373588077515933,24
30.558001,-97.841156,Union St,Union St,Mon Jul 16 2018 12:09:45 GMT-0500 (CDT),Mon Jul 16 2018 12:09:45 GMT-0500 (CDT),8.935272783953545,25
30.537243,-97.841324,Sumac Ln,Sumac Ln,Mon Jul 16 2018 12:09:46 GMT-0500 (CDT),Mon Jul 16 2018 12:09:46 GMT-0500 (CDT),4.432861502012971,26
30.537674,-97.840584,Cypress Ln,Cypress Ln,Mon Jul 16 2018 12:09:46 GMT-0500 (CDT),Mon Jul 16 2018 12:09:46 GMT-0500 (CDT),0.828584757709599,27
30.538385,-97.839897,Peach Tree Ln,Peach Tree Ln,Mon Jul 16 2018 12:09:47 GMT-0500 (CDT),Mon Jul 16 2018 12:09:47 GMT-0500 (CDT),2.40653862268294,28
30.538385,-97.839897,Redbud,"Redbud,Maple Ln",Mon Jul 16 2018 12:09:47 GMT-0500 (CDT),Mon Jul 16 2018 12:09:47 GMT-0500 (CDT),36.8399235715665,29
30.511259,-97.835342,Cedar Park Dr,Cedar Park Dr,Mon Jul 16 2018 12:09:47 GMT-0500 (CDT),Mon Jul 16 2018 12:09:47 GMT-0500 (CDT),3.2738107936759295,30
30.264969,-97.764992,Barton Springs Rd,Barton Springs Rd,Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),18.228022682139642,31
30.264969,-97.764992,Azie Morton Rd,"Azie Morton Rd,Robert E. Lee Rd",Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),22.24044675532625,32
30.378557,-97.738068,Loop 1 N,Loop 1 N,Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),5.793293423315074,33
30.378557,-97.738068,to US-183 N / Research Blvd N,to US-183 N / Research Blvd N,Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),13.646881113344081,34
30.378557,-97.738068,MoPac Express N,MoPac Express N,Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),17.98634759035247,35
30.378557,-97.738068,MoPac Express S,MoPac Express S,Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),30.424314175694658,36
30.378557,-97.738068,Loop 1 S,Loop 1 S,Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),Mon Jul 16 2018 12:09:48 GMT-0500 (CDT),40.037280056916266,37
30.142878,-97.801559,Old San Antonio Rd,Old San Antonio Rd,Mon Jul 16 2018 12:09:49 GMT-0500 (CDT),Mon Jul 16 2018 12:09:49 GMT-0500 (CDT),3.3374637574070993,38
30.142878,-97.801559,FM 1626,FM 1626,Mon Jul 16 2018 12:09:49 GMT-0500 (CDT),Mon Jul 16 2018 12:09:49 GMT-0500 (CDT),5.273187388365226,39
30.503847,-97.679184,W Nash St,W Nash St,Mon Jul 16 2018 12:10:48 GMT-0500 (CDT),Mon Jul 16 2018 12:10:48 GMT-0500 (CDT),1.1758729216322124,40
30.513983,-97.655251,A.W. Grimes Blvd,"A.W. Grimes Blvd,S A.W. Grimes Blvd",Mon Jul 16 2018 12:10:48 GMT-0500 (CDT),Mon Jul 16 2018 12:10:48 GMT-0500 (CDT),0.8088278310075352,41
30.513075,-97.68943,Chisholm Trail Rd,"Chisholm Trail Rd,CR-173",Mon Jul 16 2018 12:10:49 GMT-0500 (CDT),Mon Jul 16 2018 12:10:49 GMT-0500 (CDT),5.055632017847945,42
30.50844,-97.669762,,,Mon Jul 16 2018 12:10:49 GMT-0500 (CDT),Mon Jul 16 2018 12:10:49 GMT-0500 (CDT),17.84073905842916,43
30.512756,-97.684502,N Lee St,N Lee St,Mon Jul 16 2018 12:10:50 GMT-0500 (CDT),Mon Jul 16 2018 12:10:50 GMT-0500 (CDT),2.9431643555805236,44
30.529694,-97.633507,Harrell Pkwy,Harrell Pkwy,Mon Jul 16 2018 12:10:50 GMT-0500 (CDT),Mon Jul 16 2018 12:10:50 GMT-0500 (CDT),0.673785748276378,45
30.524473,-97.683846,Old Bowman Rd,"Old Bowman Rd,CR-125",Mon Jul 16 2018 12:10:51 GMT-0500 (CDT),Mon Jul 16 2018 12:10:51 GMT-0500 (CDT),2.2253700733159283,46
30.495581,-97.665146,Greenlawn Blvd,Greenlawn Blvd,Mon Jul 16 2018 12:10:51 GMT-0500 (CDT),Mon Jul 16 2018 12:10:51 GMT-0500 (CDT),3.7950593955167418,47
30.492105,-97.685608,Wagon Gap Dr,Wagon Gap Dr,Mon Jul 16 2018 12:10:52 GMT-0500 (CDT),Mon Jul 16 2018 12:10:52 GMT-0500 (CDT),1.3268329010132411,48
30.518242,-97.601158,,,Mon Jul 16 2018 12:10:52 GMT-0500 (CDT),Mon Jul 16 2018 12:10:52 GMT-0500 (CDT),0.5381059238319336,49
30.518242,-97.601158,Forest Creek Dr,Forest Creek Dr,Mon Jul 16 2018 12:10:52 GMT-0500 (CDT),Mon Jul 16 2018 12:10:52 GMT-0500 (CDT),0.5558999992284726,50
30.518242,-97.601158,Twin Ridge Pkwy,Twin Ridge Pkwy,Mon Jul 16 2018 12:10:52 GMT-0500 (CDT),Mon Jul 16 2018 12:10:52 GMT-0500 (CDT),0.5558999992284726,51
30.506256,-97.674141,S Burnet St,S Burnet St,Mon Jul 16 2018 12:10:53 GMT-0500 (CDT),Mon Jul 16 2018 12:10:53 GMT-0500 (CDT),1.1514153448629678,52
30.497847,-97.703018,Oakridge Dr,Oakridge Dr,Mon Jul 16 2018 12:10:53 GMT-0500 (CDT),Mon Jul 16 2018 12:10:53 GMT-0500 (CDT),0.8709850109363803,53
30.497847,-97.703018,W Creek Loop,W Creek Loop,Mon Jul 16 2018 12:10:53 GMT-0500 (CDT),Mon Jul 16 2018 12:10:53 GMT-0500 (CDT),40.60490869642332,54
30.504223,-97.694565,Round Rock West Dr,Round Rock West Dr,Mon Jul 16 2018 12:10:54 GMT-0500 (CDT),Mon Jul 16 2018 12:10:54 GMT-0500 (CDT),4.33259410868415,55
30.504223,-97.694565,,,Mon Jul 16 2018 12:10:54 GMT-0500 (CDT),Mon Jul 16 2018 12:10:54 GMT-0500 (CDT),47.93421791584246,56
30.501507,-97.698441,Deep Wood Dr,"Deep Wood Dr,Deepwood Dr",Mon Jul 16 2018 12:10:54 GMT-0500 (CDT),Mon Jul 16 2018 12:10:54 GMT-0500 (CDT),1.9656627131535438,57
30.523151,-97.640671,N Kenney Fort Blvd,N Kenney Fort Blvd,Mon Jul 16 2018 12:10:55 GMT-0500 (CDT),Mon Jul 16 2018 12:10:55 GMT-0500 (CDT),0.2903381487922898,58
30.514009,-97.655548,A.W. Grimes Blvd,"A.W. Grimes Blvd,S A.W. Grimes Blvd",Mon Jul 16 2018 12:10:55 GMT-0500 (CDT),Mon Jul 16 2018 12:10:55 GMT-0500 (CDT),2.5357327115697355,59
30.514009,-97.655548,,,Mon Jul 16 2018 12:10:55 GMT-0500 (CDT),Mon Jul 16 2018 12:10:55 GMT-0500 (CDT),41.92607042319431,60
30.520712,-97.639351,S Kenney Fort Blvd,S Kenney Fort Blvd,Mon Jul 16 2018 12:10:56 GMT-0500 (CDT),Mon Jul 16 2018 12:10:56 GMT-0500 (CDT),0.24559581113015483,61
30.291903,-97.79792,Redbud Trl,Redbud Trl,Mon Jul 16 2018 12:10:56 GMT-0500 (CDT),Mon Jul 16 2018 12:10:56 GMT-0500 (CDT),3.7967336964329483,62
30.291903,-97.79792,,,Mon Jul 16 2018 12:10:56 GMT-0500 (CDT),Mon Jul 16 2018 12:10:56 GMT-0500 (CDT),25.02643106844782,63
30.291838,-97.799545,Laurel Valley Rd,Laurel Valley Rd,Mon Jul 16 2018 12:10:57 GMT-0500 (CDT),Mon Jul 16 2018 12:10:57 GMT-0500 (CDT),4.651458129525244,64
30.291838,-97.799545,Westlake Dr,Westlake Dr,Mon Jul 16 2018 12:10:57 GMT-0500 (CDT),Mon Jul 16 2018 12:10:57 GMT-0500 (CDT),16.091066866822743,65
30.292801,-97.801224,Laurel Valley Rd,Laurel Valley Rd,Mon Jul 16 2018 12:10:58 GMT-0500 (CDT),Mon Jul 16 2018 12:10:58 GMT-0500 (CDT),1.6495213124356545,66
30.29388,-97.805611,Laurel Valley Rd,Laurel Valley Rd,Mon Jul 16 2018 12:10:58 GMT-0500 (CDT),Mon Jul 16 2018 12:10:58 GMT-0500 (CDT),1.3336831905730828,67
30.29388,-97.805611,Ledgeway E,Ledgeway E,Mon Jul 16 2018 12:10:58 GMT-0500 (CDT),Mon Jul 16 2018 12:10:58 GMT-0500 (CDT),7.025846924728265,68
30.294653,-97.808762,Laurel Valley Rd,Laurel Valley Rd,Mon Jul 16 2018 12:10:59 GMT-0500 (CDT),Mon Jul 16 2018 12:10:59 GMT-0500 (CDT),0.2094982014813966,69
30.294134,-97.809998,Laurel Valley Rd,Laurel Valley Rd,Mon Jul 16 2018 12:10:59 GMT-0500 (CDT),Mon Jul 16 2018 12:10:59 GMT-0500 (CDT),0.09699466127935576,70
30.296549,-97.817253,Allegro Ln,Allegro Ln,Mon Jul 16 2018 12:11:00 GMT-0500 (CDT),Mon Jul 16 2018 12:11:00 GMT-0500 (CDT),2.5885928742871007,71
30.296549,-97.817253,Yaupon Valley Rd,Yaupon Valley Rd,Mon Jul 16 2018 12:11:00 GMT-0500 (CDT),Mon Jul 16 2018 12:11:00 GMT-0500 (CDT),3.02725886296637,72
30.289833,-97.820404,Sundown Pkwy,Sundown Pkwy,Mon Jul 16 2018 12:11:00 GMT-0500 (CDT),Mon Jul 16 2018 12:11:00 GMT-0500 (CDT),2.118741110822511,73
30.289833,-97.820404,,,Mon Jul 16 2018 12:11:00 GMT-0500 (CDT),Mon Jul 16 2018 12:11:00 GMT-0500 (CDT),46.83155824601771,74
30.280071,-97.811913,Camp Craft Rd,Camp Craft Rd,Mon Jul 16 2018 12:11:01 GMT-0500 (CDT),Mon Jul 16 2018 12:11:01 GMT-0500 (CDT),2.47332149022818,75
30.280071,-97.811913,,,Mon Jul 16 2018 12:11:01 GMT-0500 (CDT),Mon Jul 16 2018 12:11:01 GMT-0500 (CDT),23.00677694973222,76
30.281258,-97.812881,Eanes Rd,"Eanes Rd,Eanes School Rd",Mon Jul 16 2018 12:11:01 GMT-0500 (CDT),Mon Jul 16 2018 12:11:01 GMT-0500 (CDT),4.131417594369257,77
30.281258,-97.812881,Eanes School Rd,Eanes School Rd,Mon Jul 16 2018 12:11:01 GMT-0500 (CDT),Mon Jul 16 2018 12:11:01 GMT-0500 (CDT),4.182511514490049,78
30.296299,-97.794174,Westlake Dr,Westlake Dr,Mon Jul 16 2018 12:11:02 GMT-0500 (CDT),Mon Jul 16 2018 12:11:02 GMT-0500 (CDT),1.1199180064658742,79
30.296299,-97.794174,Hull Cir,"Hull Cir,Hull Circle Dr",Mon Jul 16 2018 12:11:02 GMT-0500 (CDT),Mon Jul 16 2018 12:11:02 GMT-0500 (CDT),22.497589330828188,80
30.300865,-97.796349,Westlake Dr,Westlake Dr,Mon Jul 16 2018 12:11:02 GMT-0500 (CDT),Mon Jul 16 2018 12:11:02 GMT-0500 (CDT),0.7158835111024922,81
30.300865,-97.796349,Terrace Mountain Dr,Terrace Mountain Dr,Mon Jul 16 2018 12:11:02 GMT-0500 (CDT),Mon Jul 16 2018 12:11:02 GMT-0500 (CDT),7.550706907275802,82
30.302979,-97.795525,Westlake Dr,Westlake Dr,Mon Jul 16 2018 12:11:03 GMT-0500 (CDT),Mon Jul 16 2018 12:11:03 GMT-0500 (CDT),1.4650728122305847,83
30.302811,-97.799545,Terrace Mountain Dr,Terrace Mountain Dr,Mon Jul 16 2018 12:11:03 GMT-0500 (CDT),Mon Jul 16 2018 12:11:03 GMT-0500 (CDT),4.653268702336186,84
30.302811,-97.799545,Spurlock Valley,Spurlock Valley,Mon Jul 16 2018 12:11:03 GMT-0500 (CDT),Mon Jul 16 2018 12:11:03 GMT-0500 (CDT),18.35042656065805,85
30.303293,-97.800575,Spurlock Valley,Spurlock Valley,Mon Jul 16 2018 12:11:04 GMT-0500 (CDT),Mon Jul 16 2018 12:11:04 GMT-0500 (CDT),6.58614228722666,86
30.532116,-98.400703,Bay West Blvd,Bay West Blvd,Mon Jul 16 2018 12:11:05 GMT-0500 (CDT),Mon Jul 16 2018 12:11:05 GMT-0500 (CDT),8.755551391967627,87
30.54719,-98.407494,Broken Hills Dr,Broken Hills Dr,Mon Jul 16 2018 12:11:05 GMT-0500 (CDT),Mon Jul 16 2018 12:11:05 GMT-0500 (CDT),4.847719526664701,88
30.555742,-98.399536,Douglas Dr,Douglas Dr,Mon Jul 16 2018 12:11:06 GMT-0500 (CDT),Mon Jul 16 2018 12:11:06 GMT-0500 (CDT),3.650963132401072,89
30.545195,-98.367409,Rio Cir,Rio Cir,Mon Jul 16 2018 12:11:06 GMT-0500 (CDT),Mon Jul 16 2018 12:11:06 GMT-0500 (CDT),3.1517679616820757,90
30.54207,-98.367561,Hi Stirrup,Hi Stirrup,Mon Jul 16 2018 12:11:29 GMT-0500 (CDT),Mon Jul 16 2018 12:11:29 GMT-0500 (CDT),4.296220916641195,91
30.537415,-98.366119,Hi Cir S,Hi Cir S,Mon Jul 16 2018 12:11:30 GMT-0500 (CDT),Mon Jul 16 2018 12:11:30 GMT-0500 (CDT),1.623651763919304,92
30.537415,-98.366119,Western Bit,Western Bit,Mon Jul 16 2018 12:11:30 GMT-0500 (CDT),Mon Jul 16 2018 12:11:30 GMT-0500 (CDT),46.74983493220668,93
30.523552,-98.368713,Hi Mesa,Hi Mesa,Mon Jul 16 2018 12:11:31 GMT-0500 (CDT),Mon Jul 16 2018 12:11:31 GMT-0500 (CDT),2.569545072354238,94
30.554749,-98.409851,Apache Tears,Apache Tears,Mon Jul 16 2018 12:11:32 GMT-0500 (CDT),Mon Jul 16 2018 12:11:32 GMT-0500 (CDT),2.338039268866952,95
30.53941,-98.336769,Buntline Special,Buntline Special,Mon Jul 16 2018 12:11:32 GMT-0500 (CDT),Mon Jul 16 2018 12:11:32 GMT-0500 (CDT),1.4892441377479126,96
30.540316,-98.335136,Mountain Dew Cir,Mountain Dew Cir,Mon Jul 16 2018 12:11:33 GMT-0500 (CDT),Mon Jul 16 2018 12:11:33 GMT-0500 (CDT),0.6014532743318406,97
30.542349,-98.334618,Great Western,Great Western,Mon Jul 16 2018 12:11:34 GMT-0500 (CDT),Mon Jul 16 2018 12:11:34 GMT-0500 (CDT),1.5831107231583303,98
30.538282,-98.340546,Mountain Dew,Mountain Dew,Mon Jul 16 2018 12:11:34 GMT-0500 (CDT),Mon Jul 16 2018 12:11:34 GMT-0500 (CDT),4.028504373221158,99
30.534346,-98.329834,Mountain Dew Rd,Mountain Dew Rd,Mon Jul 16 2018 12:11:35 GMT-0500 (CDT),Mon Jul 16 2018 12:11:35 GMT-0500 (CDT),5.5882988650447984,100
30.532995,-98.330391,Pronghorn,Pronghorn,Mon Jul 16 2018 12:11:35 GMT-0500 (CDT),Mon Jul 16 2018 12:11:35 GMT-0500 (CDT),3.30672650215187,101
30.532995,-98.330391,66th St,66th St,Mon Jul 16 2018 12:11:35 GMT-0500 (CDT),Mon Jul 16 2018 12:11:35 GMT-0500 (CDT),26.186843554975738,102
30.532995,-98.330391,11th St,11th St,Mon Jul 16 2018 12:11:35 GMT-0500 (CDT),Mon Jul 16 2018 12:11:35 GMT-0500 (CDT),27.305952859005775,103
30.599077,-98.268562,Nature Heights Dr,Nature Heights Dr,Mon Jul 16 2018 12:11:36 GMT-0500 (CDT),Mon Jul 16 2018 12:11:36 GMT-0500 (CDT),2.4247767953619292,104
30.582359,-98.275215,Mission Hill Dr,Mission Hill Dr,Mon Jul 16 2018 12:11:36 GMT-0500 (CDT),Mon Jul 16 2018 12:11:36 GMT-0500 (CDT),0.17224302385064433,105
30.581682,-98.284653,Broadway St,Broadway St,Mon Jul 16 2018 12:11:37 GMT-0500 (CDT),Mon Jul 16 2018 12:11:37 GMT-0500 (CDT),2.5549275296128515,106
30.583336,-98.288109,Broadway St,Broadway St,Mon Jul 16 2018 12:11:37 GMT-0500 (CDT),Mon Jul 16 2018 12:11:37 GMT-0500 (CDT),1.264571171723874,107
30.57856,-98.278419,Broadway St,Broadway St,Mon Jul 16 2018 12:11:38 GMT-0500 (CDT),Mon Jul 16 2018 12:11:38 GMT-0500 (CDT),0.6648784301471173,108
30.577234,-98.275375,Ave J,Ave J,Mon Jul 16 2018 12:11:38 GMT-0500 (CDT),Mon Jul 16 2018 12:11:38 GMT-0500 (CDT),0.21874556220677902,109
30.577234,-98.275375,Broadway St,Broadway St,Mon Jul 16 2018 12:11:38 GMT-0500 (CDT),Mon Jul 16 2018 12:11:38 GMT-0500 (CDT),16.293353492863847,110
30.576857,-98.274132,Main St,Main St,Mon Jul 16 2018 12:11:39 GMT-0500 (CDT),Mon Jul 16 2018 12:11:39 GMT-0500 (CDT),1.280768080927063,111
30.576857,-98.274132,Broadway St,Broadway St,Mon Jul 16 2018 12:11:39 GMT-0500 (CDT),Mon Jul 16 2018 12:11:39 GMT-0500 (CDT),38.95881467809892,112
30.574352,-98.284576,2nd St,2nd St,Mon Jul 16 2018 12:11:39 GMT-0500 (CDT),Mon Jul 16 2018 12:11:39 GMT-0500 (CDT),5.631573348954037,113
30.562025,-98.283867,Lakeshore Dr,Lakeshore Dr,Mon Jul 16 2018 12:11:40 GMT-0500 (CDT),Mon Jul 16 2018 12:11:40 GMT-0500 (CDT),4.314182261322331,114
30.570227,-98.281143,S Yett St,S Yett St,Mon Jul 16 2018 12:11:40 GMT-0500 (CDT),Mon Jul 16 2018 12:11:40 GMT-0500 (CDT),2.6804351496033423,115
30.578644,-98.277336,Ave L,Ave L,Mon Jul 16 2018 12:11:41 GMT-0500 (CDT),Mon Jul 16 2018 12:11:41 GMT-0500 (CDT),0.9805487768043563,116
30.573744,-98.290871,Ave S.,Ave S.,Mon Jul 16 2018 12:11:41 GMT-0500 (CDT),Mon Jul 16 2018 12:11:41 GMT-0500 (CDT),0.48285236466427617,117
30.570494,-98.286026,Ave N.,Ave N.,Mon Jul 16 2018 12:11:42 GMT-0500 (CDT),Mon Jul 16 2018 12:11:42 GMT-0500 (CDT),38.41295312426346,118
30.570494,-98.286026,Backbone St,Backbone St,Mon Jul 16 2018 12:11:42 GMT-0500 (CDT),Mon Jul 16 2018 12:11:42 GMT-0500 (CDT),40.02634414001398,119
30.577681,-98.288307,Ave S.,Ave S.,Mon Jul 16 2018 12:11:42 GMT-0500 (CDT),Mon Jul 16 2018 12:11:42 GMT-0500 (CDT),0.8747332398896959,120
30.577681,-98.288307,3rd St,3rd St,Mon Jul 16 2018 12:11:42 GMT-0500 (CDT),Mon Jul 16 2018 12:11:42 GMT-0500 (CDT),37.56353590436347,121
30.572729,-98.27932,3rd St,3rd St,Mon Jul 16 2018 12:11:43 GMT-0500 (CDT),Mon Jul 16 2018 12:11:43 GMT-0500 (CDT),23.56827322980057,122
30.572729,-98.27932,Ave K,Ave K,Mon Jul 16 2018 12:11:43 GMT-0500 (CDT),Mon Jul 16 2018 12:11:43 GMT-0500 (CDT),35.304858442354025,123
30.588221,-98.273964,Lantana Dr,Lantana Dr,Mon Jul 16 2018 12:11:43 GMT-0500 (CDT),Mon Jul 16 2018 12:11:43 GMT-0500 (CDT),21.694923592940317,124
30.588221,-98.273964,,,Mon Jul 16 2018 12:11:43 GMT-0500 (CDT),Mon Jul 16 2018 12:11:43 GMT-0500 (CDT),22.020477480986052,125
30.580851,-98.278038,FM 1431,"FM 1431,10th St",Mon Jul 16 2018 12:11:44 GMT-0500 (CDT),Mon Jul 16 2018 12:11:44 GMT-0500 (CDT),0.5433325196848572,126
30.576721,-98.27343,US-281,US-281,Mon Jul 16 2018 12:11:44 GMT-0500 (CDT),Mon Jul 16 2018 12:11:44 GMT-0500 (CDT),34.53682860619628,127
30.578403,-98.272041,Ave H,Ave H,Mon Jul 16 2018 12:11:45 GMT-0500 (CDT),Mon Jul 16 2018 12:11:45 GMT-0500 (CDT),35.99930281366417,128
30.578403,-98.272041,,,Mon Jul 16 2018 12:11:45 GMT-0500 (CDT),Mon Jul 16 2018 12:11:45 GMT-0500 (CDT),36.00309468604128,129
30.578403,-98.272041,FM 1431,"FM 1431,10th St",Mon Jul 16 2018 12:11:45 GMT-0500 (CDT),Mon Jul 16 2018 12:11:45 GMT-0500 (CDT),48.11059892409883,130
30.579365,-98.270065,12th St,12th St,Mon Jul 16 2018 12:11:45 GMT-0500 (CDT),Mon Jul 16 2018 12:11:45 GMT-0500 (CDT),3.4753117511009735,131
30.579365,-98.270065,Ave G,Ave G,Mon Jul 16 2018 12:11:45 GMT-0500 (CDT),Mon Jul 16 2018 12:11:45 GMT-0500 (CDT),46.982646401571664,132
30.587086,-98.282784,Arbor Ln,Arbor Ln,Mon Jul 16 2018 12:11:46 GMT-0500 (CDT),Mon Jul 16 2018 12:11:46 GMT-0500 (CDT),0.18380933688845502,133
30.568752,-98.280884,Ave J,Ave J,Mon Jul 16 2018 12:11:46 GMT-0500 (CDT),Mon Jul 16 2018 12:11:46 GMT-0500 (CDT),0.20071626075588966,134
30.572062,-98.279953,2nd St,2nd St,Mon Jul 16 2018 12:11:47 GMT-0500 (CDT),Mon Jul 16 2018 12:11:47 GMT-0500 (CDT),1.1551259121030064,135
30.57453,-98.280518,4th St,4th St,Mon Jul 16 2018 12:11:47 GMT-0500 (CDT),Mon Jul 16 2018 12:11:47 GMT-0500 (CDT),20.226265680943442,136
30.57453,-98.280518,Ave L,Ave L,Mon Jul 16 2018 12:11:47 GMT-0500 (CDT),Mon Jul 16 2018 12:11:47 GMT-0500 (CDT),42.05580378958489,137
30.577091,-98.272057,Ave H,Ave H,Mon Jul 16 2018 12:11:48 GMT-0500 (CDT),Mon Jul 16 2018 12:11:48 GMT-0500 (CDT),38.68372315194492,138
30.584019,-98.284515,FM 1431,"FM 1431,10th St",Mon Jul 16 2018 12:11:49 GMT-0500 (CDT),Mon Jul 16 2018 12:11:49 GMT-0500 (CDT),0.8063744008249795,139
30.578768,-98.289345,Ave T,Ave T,Mon Jul 16 2018 12:11:50 GMT-0500 (CDT),Mon Jul 16 2018 12:11:50 GMT-0500 (CDT),27.53777844721114,140
30.578768,-98.289345,4th St,4th St,Mon Jul 16 2018 12:11:50 GMT-0500 (CDT),Mon Jul 16 2018 12:11:50 GMT-0500 (CDT),27.662445007980452,141
30.580151,-98.288147,Ave T,Ave T,Mon Jul 16 2018 12:11:51 GMT-0500 (CDT),Mon Jul 16 2018 12:11:51 GMT-0500 (CDT),1.5170332942649234,142
